"産業小分類，従業者規模","総数_事業所数","総数_従業者数(注)","総数_従業者数(注)_男","総数_従業者数(注)_女","総数_従業者数(注)_うち常用雇用者(注)","総数_従業者数(注)_うち常用雇用者(注)_男","総数_従業者数(注)_うち常用雇用者(注)_女","個人_事業所数","個人_従業者数(注)","個人_従業者数(注)_男","個人_従業者数(注)_女","個人_従業者数(注)_うち常用雇用者(注)","個人_従業者数(注)_うち常用雇用者(注)_男","個人_従業者数(注)_うち常用雇用者(注)_女","法人_事業所数","法人_従業者数(注)","法人_従業者数(注)_男","法人_従業者数(注)_女","法人_従業者数(注)_うち常用雇用者(注)","法人_従業者数(注)_うち常用雇用者(注)_男","法人_従業者数(注)_うち常用雇用者(注)_女","法人_会社_事業所数","法人_会社_従業者数(注)","法人_会社_従業者数(注)_男","法人_会社_従業者数(注)_女","法人_会社_従業者数(注)_うち常用雇用者(注)","法人_会社_従業者数(注)_うち常用雇用者(注)_男","法人_会社_従業者数(注)_うち常用雇用者(注)_女"
"J 金融業，保険業_632農林水産金融業_(再掲)20人以下","18.0","78.0","39.0","39.0","71.0","33.0","38.0","-","-","-","-","-","-","-","18.0","78.0","39.0","39.0","71.0","33.0","38.0","-","-","-","-","-","-","-"
"J 金融業，保険業_64貸金業，クレジットカード業等非預金信用機関","40.0","195.0","119.0","76.0","153.0","89.0","64.0","15.0","37.0","18.0","19.0","18.0","5.0","13.0","25.0","158.0","101.0","57.0","135.0","84.0","51.0","23.0","157.0","101.0","56.0","134.0","84.0","50.0"
"J 金融業，保険業_64貸金業，クレジットカード業等非預金信用機関_1～4人","25.0","48.0","25.0","23.0","21.0","6.0","15.0","14.0","29.0","16.0","13.0","11.0","3.0","8.0","11.0","19.0","9.0","10.0","10.0","3.0","7.0","10.0","18.0","9.0","9.0","9.0","3.0","6.0"
"J 金融業，保険業_64貸金業，クレジットカード業等非預金信用機関_5～9人","7.0","46.0","24.0","22.0","35.0","17.0","18.0","1.0","8.0","2.0","6.0","7.0","2.0","5.0","6.0","38.0","22.0","16.0","28.0","15.0","13.0","6.0","38.0","22.0","16.0","28.0","15.0","13.0"
"J 金融業，保険業_64貸金業，クレジットカード業等非預金信用機関_10～19人","4.0","49.0","32.0","17.0","45.0","28.0","17.0","-","-","-","-","-","-","-","4.0","49.0","32.0","17.0","45.0","28.0","17.0","4.0","49.0","32.0","17.0","45.0","28.0","17.0"
"J 金融業，保険業_64貸金業，クレジットカード業等非預金信用機関_20～29人","2.0","52.0","38.0","14.0","52.0","38.0","14.0","-","-","-","-","-","-","-","2.0","52.0","38.0","14.0","52.0","38.0","14.0","2.0","52.0","38.0","14.0","52.0","38.0","14.0"
"J 金融業，保険業_64貸金業，クレジットカード業等非預金信用機関_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_64貸金業，クレジットカード業等非預金信用機関_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_64貸金業，クレジットカード業等非預金信用機関_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_64貸金業，クレジットカード業等非預金信用機関_出向・派遣従業者のみ","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0","-","-","-","-","-","-","1.0","-","-","-","-","-","-"
"J 金融業，保険業_64貸金業，クレジットカード業等非預金信用機関_(再掲)5人以下","27.0","58.0","30.0","28.0","28.0","10.0","18.0","14.0","29.0","16.0","13.0","11.0","3.0","8.0","13.0","29.0","14.0","15.0","17.0","7.0","10.0","12.0","28.0","14.0","14.0","16.0","7.0","9.0"
"J 金融業，保険業_64貸金業，クレジットカード業等非預金信用機関_(再掲)20人以下","36.0","143.0","81.0","62.0","101.0","51.0","50.0","15.0","37.0","18.0","19.0","18.0","5.0","13.0","21.0","106.0","63.0","43.0","83.0","46.0","37.0","20.0","105.0","63.0","42.0","82.0","46.0","36.0"
"J 金融業，保険業_640管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_640管理，補助的経済活動を行う事業所_1～4人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_640管理，補助的経済活動を行う事業所_5～9人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_640管理，補助的経済活動を行う事業所_10～19人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_640管理，補助的経済活動を行う事業所_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_640管理，補助的経済活動を行う事業所_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_640管理，補助的経済活動を行う事業所_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_640管理，補助的経済活動を行う事業所_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_640管理，補助的経済活動を行う事業所_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_640管理，補助的経済活動を行う事業所_(再掲)5人以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_640管理，補助的経済活動を行う事業所_(再掲)20人以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_641貸金業","10.0","24.0","14.0","10.0","15.0","8.0","7.0","1.0","3.0","2.0","1.0","2.0","1.0","1.0","9.0","21.0","12.0","9.0","13.0","7.0","6.0","9.0","21.0","12.0","9.0","13.0","7.0","6.0"
"J 金融業，保険業_641貸金業_1～4人","7.0","13.0","8.0","5.0","7.0","3.0","4.0","1.0","3.0","2.0","1.0","2.0","1.0","1.0","6.0","10.0","6.0","4.0","5.0","2.0","3.0","6.0","10.0","6.0","4.0","5.0","2.0","3.0"
"J 金融業，保険業_641貸金業_5～9人","2.0","11.0","6.0","5.0","8.0","5.0","3.0","-","-","-","-","-","-","-","2.0","11.0","6.0","5.0","8.0","5.0","3.0","2.0","11.0","6.0","5.0","8.0","5.0","3.0"
"J 金融業，保険業_641貸金業_10～19人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_641貸金業_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_641貸金業_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_641貸金業_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_641貸金業_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_641貸金業_出向・派遣従業者のみ","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","-","-","-","-","-","-","1.0","-","-","-","-","-","-"
"J 金融業，保険業_641貸金業_(再掲)5人以下","8.0","18.0","10.0","8.0","9.0","4.0","5.0","1.0","3.0","2.0","1.0","2.0","1.0","1.0","7.0","15.0","8.0","7.0","7.0","3.0","4.0","7.0","15.0","8.0","7.0","7.0","3.0","4.0"
"J 金融業，保険業_641貸金業_(再掲)20人以下","9.0","24.0","14.0","10.0","15.0","8.0","7.0","1.0","3.0","2.0","1.0","2.0","1.0","1.0","8.0","21.0","12.0","9.0","13.0","7.0","6.0","8.0","21.0","12.0","9.0","13.0","7.0","6.0"
"J 金融業，保険業_642質屋","16.0","43.0","18.0","25.0","20.0","4.0","16.0","14.0","34.0","16.0","18.0","16.0","4.0","12.0","2.0","9.0","2.0","7.0","4.0","-","4.0","2.0","9.0","2.0","7.0","4.0","-","4.0"
"J 金融業，保険業_642質屋_1～4人","14.0","29.0","15.0","14.0","9.0","2.0","7.0","13.0","26.0","14.0","12.0","9.0","2.0","7.0","1.0","3.0","1.0","2.0","-","-","-","1.0","3.0","1.0","2.0","-","-","-"
"J 金融業，保険業_642質屋_5～9人","2.0","14.0","3.0","11.0","11.0","2.0","9.0","1.0","8.0","2.0","6.0","7.0","2.0","5.0","1.0","6.0","1.0","5.0","4.0","-","4.0","1.0","6.0","1.0","5.0","4.0","-","4.0"
"J 金融業，保険業_642質屋_10～19人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_642質屋_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_642質屋_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_642質屋_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_642質屋_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_642質屋_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_642質屋_(再掲)5人以下","14.0","29.0","15.0","14.0","9.0","2.0","7.0","13.0","26.0","14.0","12.0","9.0","2.0","7.0","1.0","3.0","1.0","2.0","-","-","-","1.0","3.0","1.0","2.0","-","-","-"
"J 金融業，保険業_642質屋_(再掲)20人以下","16.0","43.0","18.0","25.0","20.0","4.0","16.0","14.0","34.0","16.0","18.0","16.0","4.0","12.0","2.0","9.0","2.0","7.0","4.0","-","4.0","2.0","9.0","2.0","7.0","4.0","-","4.0"
"J 金融業，保険業_643クレジットカード業，割賦金融業","8.0","48.0","30.0","18.0","38.0","20.0","18.0","-","-","-","-","-","-","-","8.0","48.0","30.0","18.0","38.0","20.0","18.0","7.0","47.0","30.0","17.0","37.0","20.0","17.0"
"J 金融業，保険業_643クレジットカード業，割賦金融業_1～4人","4.0","6.0","2.0","4.0","5.0","1.0","4.0","-","-","-","-","-","-","-","4.0","6.0","2.0","4.0","5.0","1.0","4.0","3.0","5.0","2.0","3.0","4.0","1.0","3.0"
"J 金融業，保険業_643クレジットカード業，割賦金融業_5～9人","2.0","16.0","12.0","4.0","11.0","7.0","4.0","-","-","-","-","-","-","-","2.0","16.0","12.0","4.0","11.0","7.0","4.0","2.0","16.0","12.0","4.0","11.0","7.0","4.0"
"J 金融業，保険業_643クレジットカード業，割賦金融業_10～19人","2.0","26.0","16.0","10.0","22.0","12.0","10.0","-","-","-","-","-","-","-","2.0","26.0","16.0","10.0","22.0","12.0","10.0","2.0","26.0","16.0","10.0","22.0","12.0","10.0"
"J 金融業，保険業_643クレジットカード業，割賦金融業_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_643クレジットカード業，割賦金融業_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_643クレジットカード業，割賦金融業_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_643クレジットカード業，割賦金融業_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_643クレジットカード業，割賦金融業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_643クレジットカード業，割賦金融業_(再掲)5人以下","4.0","6.0","2.0","4.0","5.0","1.0","4.0","-","-","-","-","-","-","-","4.0","6.0","2.0","4.0","5.0","1.0","4.0","3.0","5.0","2.0","3.0","4.0","1.0","3.0"
"J 金融業，保険業_643クレジットカード業，割賦金融業_(再掲)20人以下","8.0","48.0","30.0","18.0","38.0","20.0","18.0","-","-","-","-","-","-","-","8.0","48.0","30.0","18.0","38.0","20.0","18.0","7.0","47.0","30.0","17.0","37.0","20.0","17.0"
"J 金融業，保険業_649その他の非預金信用機関","6.0","80.0","57.0","23.0","80.0","57.0","23.0","-","-","-","-","-","-","-","6.0","80.0","57.0","23.0","80.0","57.0","23.0","5.0","80.0","57.0","23.0","80.0","57.0","23.0"
"J 金融業，保険業_649その他の非預金信用機関_1～4人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_649その他の非預金信用機関_5～9人","1.0","5.0","3.0","2.0","5.0","3.0","2.0","-","-","-","-","-","-","-","1.0","5.0","3.0","2.0","5.0","3.0","2.0","1.0","5.0","3.0","2.0","5.0","3.0","2.0"
"J 金融業，保険業_649その他の非預金信用機関_10～19人","2.0","23.0","16.0","7.0","23.0","16.0","7.0","-","-","-","-","-","-","-","2.0","23.0","16.0","7.0","23.0","16.0","7.0","2.0","23.0","16.0","7.0","23.0","16.0","7.0"
"J 金融業，保険業_649その他の非預金信用機関_20～29人","2.0","52.0","38.0","14.0","52.0","38.0","14.0","-","-","-","-","-","-","-","2.0","52.0","38.0","14.0","52.0","38.0","14.0","2.0","52.0","38.0","14.0","52.0","38.0","14.0"
"J 金融業，保険業_649その他の非預金信用機関_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_649その他の非預金信用機関_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_649その他の非預金信用機関_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_649その他の非預金信用機関_出向・派遣従業者のみ","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_649その他の非預金信用機関_(再掲)5人以下","1.0","5.0","3.0","2.0","5.0","3.0","2.0","-","-","-","-","-","-","-","1.0","5.0","3.0","2.0","5.0","3.0","2.0","1.0","5.0","3.0","2.0","5.0","3.0","2.0"
"J 金融業，保険業_649その他の非預金信用機関_(再掲)20人以下","3.0","28.0","19.0","9.0","28.0","19.0","9.0","-","-","-","-","-","-","-","3.0","28.0","19.0","9.0","28.0","19.0","9.0","3.0","28.0","19.0","9.0","28.0","19.0","9.0"
"J 金融業，保険業_65金融商品取引業，商品先物取引業","26.0","395.0","259.0","136.0","391.0","255.0","136.0","-","-","-","-","-","-","-","26.0","395.0","259.0","136.0","391.0","255.0","136.0","26.0","395.0","259.0","136.0","391.0","255.0","136.0"
"J 金融業，保険業_65金融商品取引業，商品先物取引業_1～4人","6.0","12.0","12.0","-","8.0","8.0","-","-","-","-","-","-","-","-","6.0","12.0","12.0","-","8.0","8.0","-","6.0","12.0","12.0","-","8.0","8.0","-"
"J 金融業，保険業_65金融商品取引業，商品先物取引業_5～9人","3.0","22.0","17.0","5.0","22.0","17.0","5.0","-","-","-","-","-","-","-","3.0","22.0","17.0","5.0","22.0","17.0","5.0","3.0","22.0","17.0","5.0","22.0","17.0","5.0"
"J 金融業，保険業_65金融商品取引業，商品先物取引業_10～19人","10.0","134.0","96.0","38.0","134.0","96.0","38.0","-","-","-","-","-","-","-","10.0","134.0","96.0","38.0","134.0","96.0","38.0","10.0","134.0","96.0","38.0","134.0","96.0","38.0"
"J 金融業，保険業_65金融商品取引業，商品先物取引業_20～29人","2.0","49.0","32.0","17.0","49.0","32.0","17.0","-","-","-","-","-","-","-","2.0","49.0","32.0","17.0","49.0","32.0","17.0","2.0","49.0","32.0","17.0","49.0","32.0","17.0"
"J 金融業，保険業_65金融商品取引業，商品先物取引業_30～49人","3.0","100.0","65.0","35.0","100.0","65.0","35.0","-","-","-","-","-","-","-","3.0","100.0","65.0","35.0","100.0","65.0","35.0","3.0","100.0","65.0","35.0","100.0","65.0","35.0"
"J 金融業，保険業_65金融商品取引業，商品先物取引業_50～99人","1.0","78.0","37.0","41.0","78.0","37.0","41.0","-","-","-","-","-","-","-","1.0","78.0","37.0","41.0","78.0","37.0","41.0","1.0","78.0","37.0","41.0","78.0","37.0","41.0"
"J 金融業，保険業_65金融商品取引業，商品先物取引業_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_65金融商品取引業，商品先物取引業_出向・派遣従業者のみ","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","-","-","-","-","-","-","1.0","-","-","-","-","-","-"
"J 金融業，保険業_65金融商品取引業，商品先物取引業_(再掲)5人以下","6.0","12.0","12.0","-","8.0","8.0","-","-","-","-","-","-","-","-","6.0","12.0","12.0","-","8.0","8.0","-","6.0","12.0","12.0","-","8.0","8.0","-"
"J 金融業，保険業_65金融商品取引業，商品先物取引業_(再掲)20人以下","19.0","168.0","125.0","43.0","164.0","121.0","43.0","-","-","-","-","-","-","-","19.0","168.0","125.0","43.0","164.0","121.0","43.0","19.0","168.0","125.0","43.0","164.0","121.0","43.0"
"J 金融業，保険業_650管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_650管理，補助的経済活動を行う事業所_1～4人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_650管理，補助的経済活動を行う事業所_5～9人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_650管理，補助的経済活動を行う事業所_10～19人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_650管理，補助的経済活動を行う事業所_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_650管理，補助的経済活動を行う事業所_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_650管理，補助的経済活動を行う事業所_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_650管理，補助的経済活動を行う事業所_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_650管理，補助的経済活動を行う事業所_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_650管理，補助的経済活動を行う事業所_(再掲)5人以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_650管理，補助的経済活動を行う事業所_(再掲)20人以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_651金融商品取引業","25.0","384.0","251.0","133.0","380.0","247.0","133.0","-","-","-","-","-","-","-","25.0","384.0","251.0","133.0","380.0","247.0","133.0","25.0","384.0","251.0","133.0","380.0","247.0","133.0"
"J 金融業，保険業_651金融商品取引業_1～4人","6.0","12.0","12.0","-","8.0","8.0","-","-","-","-","-","-","-","-","6.0","12.0","12.0","-","8.0","8.0","-","6.0","12.0","12.0","-","8.0","8.0","-"
"J 金融業，保険業_651金融商品取引業_5～9人","3.0","22.0","17.0","5.0","22.0","17.0","5.0","-","-","-","-","-","-","-","3.0","22.0","17.0","5.0","22.0","17.0","5.0","3.0","22.0","17.0","5.0","22.0","17.0","5.0"
"J 金融業，保険業_651金融商品取引業_10～19人","9.0","123.0","88.0","35.0","123.0","88.0","35.0","-","-","-","-","-","-","-","9.0","123.0","88.0","35.0","123.0","88.0","35.0","9.0","123.0","88.0","35.0","123.0","88.0","35.0"
"J 金融業，保険業_651金融商品取引業_20～29人","2.0","49.0","32.0","17.0","49.0","32.0","17.0","-","-","-","-","-","-","-","2.0","49.0","32.0","17.0","49.0","32.0","17.0","2.0","49.0","32.0","17.0","49.0","32.0","17.0"
"J 金融業，保険業_651金融商品取引業_30～49人","3.0","100.0","65.0","35.0","100.0","65.0","35.0","-","-","-","-","-","-","-","3.0","100.0","65.0","35.0","100.0","65.0","35.0","3.0","100.0","65.0","35.0","100.0","65.0","35.0"
"J 金融業，保険業_651金融商品取引業_50～99人","1.0","78.0","37.0","41.0","78.0","37.0","41.0","-","-","-","-","-","-","-","1.0","78.0","37.0","41.0","78.0","37.0","41.0","1.0","78.0","37.0","41.0","78.0","37.0","41.0"
"J 金融業，保険業_651金融商品取引業_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_651金融商品取引業_出向・派遣従業者のみ","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","-","-","-","-","-","-","1.0","-","-","-","-","-","-"
"J 金融業，保険業_651金融商品取引業_(再掲)5人以下","6.0","12.0","12.0","-","8.0","8.0","-","-","-","-","-","-","-","-","6.0","12.0","12.0","-","8.0","8.0","-","6.0","12.0","12.0","-","8.0","8.0","-"
"J 金融業，保険業_651金融商品取引業_(再掲)20人以下","18.0","157.0","117.0","40.0","153.0","113.0","40.0","-","-","-","-","-","-","-","18.0","157.0","117.0","40.0","153.0","113.0","40.0","18.0","157.0","117.0","40.0","153.0","113.0","40.0"
"J 金融業，保険業_652商品先物取引業，商品投資顧問業","1.0","11.0","8.0","3.0","11.0","8.0","3.0","-","-","-","-","-","-","-","1.0","11.0","8.0","3.0","11.0","8.0","3.0","1.0","11.0","8.0","3.0","11.0","8.0","3.0"
"J 金融業，保険業_652商品先物取引業，商品投資顧問業_1～4人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_652商品先物取引業，商品投資顧問業_5～9人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_652商品先物取引業，商品投資顧問業_10～19人","1.0","11.0","8.0","3.0","11.0","8.0","3.0","-","-","-","-","-","-","-","1.0","11.0","8.0","3.0","11.0","8.0","3.0","1.0","11.0","8.0","3.0","11.0","8.0","3.0"
"J 金融業，保険業_652商品先物取引業，商品投資顧問業_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_652商品先物取引業，商品投資顧問業_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_652商品先物取引業，商品投資顧問業_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_652商品先物取引業，商品投資顧問業_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_652商品先物取引業，商品投資顧問業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_652商品先物取引業，商品投資顧問業_(再掲)5人以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_652商品先物取引業，商品投資顧問業_(再掲)20人以下","1.0","11.0","8.0","3.0","11.0","8.0","3.0","-","-","-","-","-","-","-","1.0","11.0","8.0","3.0","11.0","8.0","3.0","1.0","11.0","8.0","3.0","11.0","8.0","3.0"
"J 金融業，保険業_66補助的金融業等","14.0","148.0","110.0","38.0","127.0","90.0","37.0","-","-","-","-","-","-","-","14.0","148.0","110.0","38.0","127.0","90.0","37.0","7.0","33.0","20.0","13.0","29.0","17.0","12.0"
"J 金融業，保険業_66補助的金融業等_1～4人","8.0","17.0","8.0","9.0","15.0","7.0","8.0","-","-","-","-","-","-","-","8.0","17.0","8.0","9.0","15.0","7.0","8.0","4.0","11.0","6.0","5.0","10.0","6.0","4.0"
"J 金融業，保険業_66補助的金融業等_5～9人","1.0","6.0","4.0","2.0","6.0","4.0","2.0","-","-","-","-","-","-","-","1.0","6.0","4.0","2.0","6.0","4.0","2.0","1.0","6.0","4.0","2.0","6.0","4.0","2.0"
"J 金融業，保険業_66補助的金融業等_10～19人","2.0","29.0","20.0","9.0","26.0","17.0","9.0","-","-","-","-","-","-","-","2.0","29.0","20.0","9.0","26.0","17.0","9.0","1.0","16.0","10.0","6.0","13.0","7.0","6.0"
"J 金融業，保険業_66補助的金融業等_20～29人","1.0","26.0","23.0","3.0","15.0","12.0","3.0","-","-","-","-","-","-","-","1.0","26.0","23.0","3.0","15.0","12.0","3.0","-","-","-","-","-","-","-"
"J 金融業，保険業_66補助的金融業等_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_66補助的金融業等_50～99人","1.0","70.0","55.0","15.0","65.0","50.0","15.0","-","-","-","-","-","-","-","1.0","70.0","55.0","15.0","65.0","50.0","15.0","-","-","-","-","-","-","-"
"J 金融業，保険業_66補助的金融業等_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_66補助的金融業等_出向・派遣従業者のみ","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","-","-","-","-","-","-","1.0","-","-","-","-","-","-"
"J 金融業，保険業_66補助的金融業等_(再掲)5人以下","8.0","17.0","8.0","9.0","15.0","7.0","8.0","-","-","-","-","-","-","-","8.0","17.0","8.0","9.0","15.0","7.0","8.0","4.0","11.0","6.0","5.0","10.0","6.0","4.0"
"J 金融業，保険業_66補助的金融業等_(再掲)20人以下","11.0","52.0","32.0","20.0","47.0","28.0","19.0","-","-","-","-","-","-","-","11.0","52.0","32.0","20.0","47.0","28.0","19.0","6.0","33.0","20.0","13.0","29.0","17.0","12.0"
"J 金融業，保険業_660管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業_660管理，補助的経済活動を行う事業所_1～4人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
